NCT Number,Study Title,Study URL,Study Status,Brief Summary,Study Results,Conditions,Interventions,Sponsor,Collaborators,Study Type,Study Design,Start Date
NCT06366620,"Examining the Feasibility, Acceptability, and Fidelity of Utilizing Parent Training Graduates as Peer Supports",https://clinicaltrials.gov/study/NCT06366620,RECRUITING,"Disruptive behavioral disorders are common in early childhood, affecting up to 15% of preschool-aged children. Behavioral parent training programs are a first-line evidence-based treatment for child disruptive behaviors. There is evidence showing that (a) these programs are effective in reducing disruptive behavior and improving long-term outcomes, and (b) there is an excellent return on investment for early intervention. Nevertheless, there is limited availability of behavioral parent training programs, particularly in rural settings, due to shortages of trained clinicians. Thus, there is a pressing need for expanding the mental healthcare workforce in rural/underserved areas. The study will involve an established parent-based behavioral intervention (First Approach Skills Training for Behavior; or FAST-B) with added pilot component incorporating parents who have previously been through parent behavioral management training programs as Peer Supports.",NO,Child Disruptive Behavior Disorders|Parent Child Relationship|Parent Management Training|Peer Support|Child Behavior Problems|Challenging Behavior|Positive Parenting,BEHAVIORAL: FAST-B PEERS|BEHAVIORAL: FAST-B (First Approach Skills Training - Behavior),Seattle Children's Hospital,,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH,2024-04-10
NCT01883765,Efficacy of Neurofeedback Training in Adults With ADHD,https://clinicaltrials.gov/study/NCT01883765,COMPLETED,"Neurofeedback training (NFT) has been frequently investigated as an alternative treatment for ADHD mainly in children and adolescents. However, randomized double-blind trials that include a sham-neurofeedback control group are lacking, as well as studies examining the efficacy of NFT in adult ADHD populations. The inclusion of a sham-neurofeedback group is crucial to monitor and exclude unspecific effects.

This study aims to investigate the efficacy of NFT as compared to a sham-feedback condition and a cognitive behavioral treatment in adults with persistent ADHD.

Efficacy is assessed on several outcome parameters, such as symptom severity, neuropsychological variables (e.g., attention, memory), and EEG parameters.",NO,Attention Deficit Hyperactivity Disorder,BEHAVIORAL: Neurofeedback active|BEHAVIORAL: Neurofeedback sham|BEHAVIORAL: Metacognitive Training,University Hospital Tuebingen,German Research Foundation,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2013-02
NCT03781765,Stimulant vs. Non-stimulant Treatments and Reward Processing in Drug-naive Youth at SUD Risk,https://clinicaltrials.gov/study/NCT03781765,RECRUITING,"The study team will examine the effects of FDA approved stimulant and non-stimulant medications for ADHD, among youth with ADHD and with and without Oppositional Defiant Disorder (ODD) or Conduct Disorder (CD), on reward systems of the brain using fMRI.",NO,ADHD|Attention Deficit Hyperactivity Disorder,DRUG: Methylphenidate|DRUG: Atomoxetine,Icahn School of Medicine at Mount Sinai,National Institute on Drug Abuse (NIDA),INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2019-06-04
NCT02588365,Brain Training in Children With/At-risk for Attention-Deficit/Hyperactivity Disorder and Executive Function Impairment,https://clinicaltrials.gov/study/NCT02588365,COMPLETED,"The purpose of this study is to determine if different forms of child-friendly, computer-based puzzles and games (""brain training"") targeting executive function (EF) skills (i.e., thinking, problem-solving) result in improvements in EF in preschool children with or at-risk for Attention-Deficit/Hyperactivity Disorder (ADHD) and EF problems. The investigators hypothesize that children receiving active ""brain training"" will show greater improvements in EF and related skills immediately after treatment than children receiving passive ""brain training."" The investigators are also interested in whether any improvements in EF and related skills occur or are maintained at 3 and 6 months after completion of brain training.",NO,Attention Deficit Hyperactivity Disorder,BEHAVIORAL: Brain Training (Active)|BEHAVIORAL: Brain Training (Passive)|BEHAVIORAL: Brain Training (Active or Passive),Stanford University,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2015-10
NCT05135065,Community-Based Care for Minority Adolescents With ADHD: Improving Fidelity With Machine Learning-Assisted Supervision and Fidelity Feedback.,https://clinicaltrials.gov/study/NCT05135065,UNKNOWN,"This project proposes to reduce disparities in care among disadvantaged racial/ethnic minority adolescents with ADHD by improving community therapist fidelity to evidence-based behavior therapy through a technology-assisted supervision intervention. In Y01, the research team will work with stakeholders to develop the proposed supervision intervention utilizing two novel technologies: Lyssn + Care4 (LC4S). In Y02, a preliminary clinical trial (N=72) will be conducted in three community mental health agencies in Miami, FL. Adolescent participants will be randomly assigned to receive supervision from a therapist who is trained in LCS4 or provides enhanced supervision as usual(ESAU)using a permuted block randomization strategy that randomizes within site. There will also be double randomization of agency therapists to supervisors. Supervisors will deliver both conditions and investigators will test for contamination to determine the integrity of this design prior to a future R01 that measures patient outcomes. Data from therapists, adolescents and their parents, and supervisors will be collected pre-training, post-training, weekly during service delivery, at EBT completion, and at the end of the trial. The proximal intervention target is therapist fidelity to EBT and the distal targets are service delivery outcomes that include quality, quantity, and speed of delivery. Investigators will also measure indices of consumer fit: cost, acceptability, feasibility, and fidelity to supervision procedures. Sources of data will be audio recorded therapy and supervision sessions, therapist and supervisor report, and project and electronic health records. In longitudinal analyses, time will be modeled as a person-specific variable representing months since baseline. Investigators will nest adolescents within therapists for all analyses.",NO,Attention Deficit Hyperactivity Disorder,OTHER: Artificial Intelligence-Assisted Supervision Protocol,Seattle Children's Hospital,Florida International University,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: HEALTH_SERVICES_RESEARCH,2021-11-18
NCT01721720,"Genetic, Brain Structure, and Environmental Effects on ADHD",https://clinicaltrials.gov/study/NCT01721720,ACTIVE_NOT_RECRUITING,"Background:

- Attention deficit hyperactivity disorder (ADHD) is one of the most common and inheritable of all neuropsychiatric disorders. It causes problems with attention and impulse control. However, the genetic component of ADHD has not been fully studied, including how genes interact with the environment. Researchers want to study children and adults who have ADHD. They will look at how genetic, brain structure, and environmental factors affect ADHD in children and adults.

Objectives:

- To study genetic, brain structure, and environmental factors in ADHD in children and adults.

Eligibility:

- Individuals at least 3 years of age who have ADHD.

Design:

* Participants will be screened with a physical exam and medical history.
* Participants will be interviewed about their ADHD. They will also complete behavior and psychological tests. Parents or guardians will complete the tests along with participants under 18 years of age.
* Participants will provide saliva or blood samples.
* Participants will also have imaging studies of the brain.
* Participants under 25 years of age will return once a year to repeat the tests. Those over 25 years of age will have only the one set of tests. Those who are starting stimulant drugs and who are receiving behavioral treatment for the first time will also have another set of tests 12 weeks after the start of treatment.",NO,Attention Deficit Disorder With Hyperactivity,,National Human Genome Research Institute (NHGRI),,OBSERVATIONAL,Observational Model: |Time Perspective: p,2012-11-09
NCT05422274,Effect of Transcranial Pulse Stimulation on ADHD,https://clinicaltrials.gov/study/NCT05422274,RECRUITING,"This is the first nationwide study using Transcranial Pulse Stimulation to evaluate its efficacy and safety on 30 young adolescents with ADHD. Six verum/ shamTPS sessions will be delivered to all subjects on a 1: 1 ratio, balanced by gender and age. Attention deficit, hyperactivity, impulsivity, and oppositional defiance will be the primary outcome. Secondary outcomes include ADHD severity, frequency of inattention, hyperactivity, impulsivity, executive function and neural connectivity changes via neuroimaging. Results emerging from this study will generate new knowledge to ascertain whether TPS can be used as a top-on treatment in ADHD.",NO,ADHD,DEVICE: Transcranial Pulse Stimulation,The Hong Kong Polytechnic University,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2022-06-01
NCT05257265,A Trial of Centanafadine Efficacy and Safety in Adolescents With Attention- Deficit/Hyperactivity Disorder,https://clinicaltrials.gov/study/NCT05257265,COMPLETED,"This trial will be conducted to evaluate the efficacy and safety of the Centanafadine extended release (XR) capsules in adolescent subjects (13 - 17 years, inclusive) with ADHD.",NO,Attention-Deficit/Hyperactivity Disorder,DRUG: Centanafadine Hydrochloride|OTHER: Placebo,"Otsuka Pharmaceutical Development & Commercialization, Inc.",,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2022-02-02
NCT01246765,National Pregnancy Registry for Psychiatric Medications,https://clinicaltrials.gov/study/NCT01246765,RECRUITING,"The National Pregnancy Registry for Psychiatric Medications is dedicated to evaluating the safety of psychiatric medications such as antidepressants, ADHD medications, sedative hypnotics, and atypical antipsychotics that many people take during pregnancy to treat a wide range of mood, anxiety, executive function, or psychiatric disorders. The goal of this Registry is to gather information on the safety of these medications during pregnancy, as current data is limited.",NO,Pregnant Women|Psychotropic Drugs,,Massachusetts General Hospital,"Alkermes, Inc.|Eisai Inc.|Janssen Pharmaceuticals|Otsuka America Pharmaceutical|Sage Therapeutics|Supernus Pharmaceuticals, Inc.|Teva Pharmaceuticals USA",OBSERVATIONAL,Observational Model: |Time Perspective: p,2008-11
NCT02402166,"Safety, Tolerability, Pharmacokinetic, and Efficacy Study of SPD489 in Preschool Children With Attention-deficit/Hyperactivity Disorder",https://clinicaltrials.gov/study/NCT02402166,COMPLETED,"The purpose of this study is to gain initial safety, tolerability, pharmacokinetic, and efficacy information on SPD489 in preschool children 4-5 years old who are diagnosed with ADHD. Generating such data will provide data on the use of SPD489 in the preschool ADHD population.",YES,Attention Deficit Hyperactivity Disorder (ADHD),DRUG: SPD489,Shire,,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2015-04-15
NCT01816074,Sequencing Treatments for Mothers With ADHD and Their At - Risk Children,https://clinicaltrials.gov/study/NCT01816074,COMPLETED,"We hypothesize that successfully treating maternal Attention Deficit Hyperactivity Disorder (ADHD) will have a beneficial effect that extends to the child. We believe that multi-component interventions combining maternal stimulant medication, Lisdexamfetamine (LDX), and Behavioral Parent Training (BPT) will improve parenting, maternal, and child outcomes. In terms of improved parenting, we hypothesize that some mothers may respond well to LDX or BPT alone and therefore may not require multi-modal treatment, whereas others may benefit most from multi-modal treatment",YES,Attention Deficit Hyperactivity Disorder,DRUG: Vyvanse (lisdexamphetamine)|BEHAVIORAL: Behavior Parent Training,Seattle Children's Hospital,Shire,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2012-10
